epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.15,1.83122,1.41185,1.14382,0.73809,0.45288,0.51116,0.25218,1.61209,0.96898,1.0939,0.000399752,0.000399752,0.000399752
2,600.762,1.6628,1.01442,1.07394,0.75446,0.4672,0.52768,0.26574,1.55505,0.93127,1.06074,0.00077336,0.00077336,0.00077336
3,890.859,1.64711,0.98238,1.06515,0.76294,0.47231,0.5374,0.26962,1.57926,0.88512,1.06153,0.00112057,0.00112057,0.00112057
4,1179.84,1.62473,0.95396,1.05764,0.77406,0.47927,0.54841,0.28123,1.53084,0.86047,1.06161,0.00144138,0.00144138,0.00144138
5,1467.76,1.60747,0.93591,1.05464,0.78839,0.49527,0.56425,0.29072,1.50055,0.8115,1.04186,0.00173578,0.00173578,0.00173578
6,1755.52,1.58546,0.90797,1.04385,0.79158,0.49741,0.56928,0.29776,1.47561,0.78325,1.0358,0.00167,0.00167,0.00167
7,2043.82,1.56812,0.88479,1.0409,0.7964,0.5111,0.58586,0.30865,1.4676,0.76425,1.04065,0.001604,0.001604,0.001604
8,2333.46,1.55463,0.86427,1.03362,0.80139,0.50926,0.5826,0.30693,1.47439,0.7585,1.03864,0.001538,0.001538,0.001538
9,2620.77,1.5271,0.84523,1.02899,0.80948,0.52587,0.59908,0.31783,1.43759,0.7361,1.02083,0.001472,0.001472,0.001472
10,2908.58,1.52504,0.83684,1.02741,0.80803,0.52731,0.60375,0.31999,1.43824,0.7336,1.0214,0.001406,0.001406,0.001406
11,3196.06,1.51163,0.8235,1.02078,0.80984,0.5263,0.60247,0.32202,1.4241,0.72131,1.01893,0.00134,0.00134,0.00134
12,3484.84,1.50637,0.81393,1.02153,0.82016,0.53853,0.61243,0.32716,1.41639,0.71053,1.01756,0.001274,0.001274,0.001274
13,3773.55,1.49496,0.8019,1.01367,0.81904,0.53905,0.61517,0.32927,1.40775,0.69886,1.0138,0.001208,0.001208,0.001208
14,4059.61,1.47745,0.79045,1.01519,0.81913,0.54232,0.6181,0.33177,1.40347,0.68912,1.01521,0.001142,0.001142,0.001142
15,4347.33,1.4686,0.7828,1.01151,0.81888,0.54336,0.61842,0.33298,1.403,0.6835,1.01127,0.001076,0.001076,0.001076
16,4637.76,1.48135,0.78176,1.00562,0.82064,0.54548,0.62245,0.3365,1.39248,0.67723,1.00622,0.00101,0.00101,0.00101
17,4932.76,1.45864,0.76843,1.00625,0.82367,0.54808,0.62388,0.33416,1.39351,0.67345,1.00854,0.000944,0.000944,0.000944
18,5222.45,1.45251,0.75818,1.00446,0.82713,0.55198,0.63268,0.34105,1.3843,0.66541,1.0053,0.000878,0.000878,0.000878
19,5509.71,1.45091,0.75486,0.99839,0.82671,0.55022,0.62862,0.33941,1.38644,0.66143,1.00291,0.000812,0.000812,0.000812
20,5796.78,1.43319,0.74143,0.99739,0.8297,0.55158,0.63117,0.34082,1.37975,0.65945,1.00206,0.000746,0.000746,0.000746
21,6080.03,1.41346,0.7195,1.00672,0.8219,0.549,0.62576,0.33845,1.3816,0.66169,1.00128,0.00068,0.00068,0.00068
22,6364.1,1.40912,0.71249,1.00143,0.83408,0.55022,0.6316,0.34309,1.37399,0.65846,0.9996,0.000614,0.000614,0.000614
23,6637.37,1.39183,0.69898,0.99964,0.83128,0.54689,0.62887,0.34198,1.37294,0.65437,0.99694,0.000548,0.000548,0.000548
24,6912.91,1.395,0.6958,0.99685,0.8329,0.55307,0.63526,0.34506,1.37438,0.64714,0.99801,0.000482,0.000482,0.000482
25,7204.47,1.38522,0.68852,0.99651,0.83887,0.55098,0.6359,0.34503,1.37255,0.64689,0.99751,0.000416,0.000416,0.000416
26,7496.25,1.37964,0.6811,0.99168,0.83795,0.55476,0.63857,0.34892,1.36486,0.64038,0.99497,0.00035,0.00035,0.00035
27,7786.32,1.37255,0.67131,0.99018,0.83666,0.55803,0.64009,0.348,1.36472,0.63742,0.99615,0.000284,0.000284,0.000284
28,8081,1.36464,0.66313,0.98792,0.84091,0.55902,0.64196,0.34854,1.36511,0.6327,0.99537,0.000218,0.000218,0.000218
29,8375.83,1.36053,0.65566,0.98498,0.84081,0.55965,0.64322,0.35025,1.36132,0.63237,0.99398,0.000152,0.000152,0.000152
30,8677.31,1.35475,0.65273,0.98447,0.83911,0.5604,0.64446,0.3515,1.35907,0.62918,0.99417,8.6e-05,8.6e-05,8.6e-05
